loan_id,income,age,employment_years,credit_score,loan_purpose,loan_term,loan_amount,loan_status
LN00123,78055.88621872198,43,13,659.3723970615165,business,60 months,9008.089089971614,current
LN00124,21962.97874415438,36,8,726.6224408469433,car,60 months,37973.47025157504,default
LN00125,61737.14187600541,21,29,551.0277790360648,business,36 months,22081.16677476142,current
LN00126,93809.11251619957,32,20,788.9890681712947,home,36 months,19071.027115439167,current
LN00127,30189.27349738623,44,11,687.9677217885828,education,60 months,16780.40084933857,current
LN00128,38674.04540794456,54,36,672.8438481095335,home,60 months,11938.558325346115,in grace period
LN00129,51993.02730175282,28,31,659.7416748443632,home,36 months,22918.526018345143,current
LN00130,39930.48691767602,38,10,776.3700950326894,home,36 months,25219.79047195808,current
LN00131,18986.731378677345,25,19,765.7713327706604,home,60 months,5000.0,current
LN00132,51371.25949612055,46,34,606.8351263375247,car,60 months,45430.383391676485,current
LN00133,28753.925725477904,50,10,670.1382101743344,education,36 months,5000.0,90+dpd
LN00134,59471.84861270363,33,7,789.2081527577917,home,60 months,14776.71197295214,90+dpd
LN00135,31611.515315323937,39,3,575.188343987963,education,36 months,5000.0,current
LN00136,80998.68810035079,49,26,696.5484076448221,car,60 months,17320.907516344436,current
LN00137,34334.93415327526,23,39,703.1361644556895,education,36 months,15385.361241424887,current
LN00138,43558.76967588649,46,37,501.0461806726515,education,60 months,14883.066322006505,default
LN00139,66270.3443473934,60,29,722.7991596988855,car,60 months,23043.336718937506,90+dpd
LN00140,25382.713671320897,32,26,547.7224213752329,home,60 months,17561.882773062713,90+dpd
LN00141,54549.19869208259,22,20,666.5423435816192,education,36 months,25384.187994962696,default
LN00142,76142.85508564857,31,19,754.7769439907156,business,60 months,7626.692537858251,current
LN00143,17850.335308775448,64,3,449.1376359356203,education,36 months,20773.83276834055,current
LN00144,53692.677170646086,48,10,707.2327486553587,home,36 months,13683.19049844352,default
LN00145,55197.65588496847,38,12,796.4106341517665,business,36 months,16296.605534667726,in grace period
LN00146,65636.45743554621,33,8,626.8353368015756,home,36 months,22703.48649180516,90+dpd
LN00147,25260.98578243836,57,3,664.159245399967,education,60 months,14956.942685891096,current
LN00148,23590.867738314475,42,11,715.5908602299115,car,60 months,18948.342659228198,90+dpd
LN00149,60438.83131233795,32,8,547.4626272802795,home,60 months,8457.545893566152,in grace period
LN00150,,22,12,707.4855259046662,home,36 months,30955.122303459124,in grace period
LN00151,55009.85700691753,57,25,725.203442631402,car,60 months,27284.440329946203,current
LN00152,56928.964189939514,27,37,700.162328928153,education,36 months,20999.835568147482,current
LN00153,36399.505568430184,46,12,640.9930433654285,home,36 months,17573.3998117386,current
LN00154,54645.07394322007,46,38,583.1461285594311,education,36 months,18956.28395153798,current
LN00155,55861.44946597362,44,27,751.7910335561505,education,60 months,30740.233725142847,90+dpd
LN00156,35712.97163947264,32,18,636.6581705483286,education,36 months,26576.055686378444,current
LN00157,87315.49022289514,36,23,622.5738106818833,car,60 months,30908.44329919439,in grace period
LN00158,59476.65841823575,43,18,635.7447996318557,education,60 months,16581.08927084527,in grace period
LN00159,26173.93005594703,60,12,650.4908637920142,education,60 months,24833.992794579557,current
LN00160,63131.07217267659,29,12,552.3780745334217,business,36 months,31886.739821553452,in grace period
LN00161,30506.36659545357,52,27,630.2914406189817,business,60 months,10738.541967064371,current
LN00162,65741.69207484904,35,1,635.0902362234297,business,36 months,10109.57139193431,current
LN00163,73171.91158014808,57,9,765.2237146184071,home,36 months,,current
LN00164,33586.353632965795,33,21,500.8739611654646,home,36 months,7650.581067196503,current
LN00165,69267.52258488644,25,12,733.5105069027002,business,36 months,5000.0,current
LN00166,58255.61853872996,31,8,755.9822056735459,car,60 months,31746.457300085487,current
LN00167,199323.6095996694,30,32,669.257354341959,car,60 months,33488.98525665674,current
LN00168,87935.85965307895,33,13,566.2630349892236,business,60 months,8199.804457868197,90+dpd
LN00169,45092.23767994259,61,19,768.6351902822361,home,60 months,5680.132389197286,current
LN00170,34925.27671285021,35,14,570.1491826532847,home,36 months,13468.10298363427,90+dpd
LN00171,32209.711407489533,62,31,830.7396607501294,car,36 months,32528.08352119566,in grace period
LN00172,33683.79430069123,27,32,505.8049411569194,education,36 months,15892.615474218557,current
LN00173,48457.96581171791,60,16,658.8912335034562,car,36 months,20946.950177148112,current
LN00174,56823.03949633288,48,23,653.7154272312824,education,60 months,23249.21741028031,90+dpd
LN00175,55533.815986600384,52,29,639.4900615996933,home,60 months,21738.478023586187,in grace period
LN00176,66543.66498072048,55,12,697.480979572765,home,36 months,34940.71144003418,in grace period
LN00177,50260.03783755814,35,15,685.2352369112326,business,36 months,12801.089712772613,current
LN00178,79070.68154314633,56,1,665.8645021017489,home,36 months,18977.932290485827,in grace period
LN00179,44706.86333524088,41,16,572.2446366099717,education,36 months,22324.256995973694,current
LN00180,104403.38333179237,26,31,776.2765581713288,car,60 months,19510.04298834309,90+dpd
LN00181,62513.34695530013,21,7,705.0069827137385,business,36 months,7808.98792488957,90+dpd
LN00182,32856.848871674345,24,2,639.4076565574394,education,60 months,5274.644831399677,in grace period
LN00183,28582.150038777752,31,11,668.8578231506327,car,60 months,5065.227224948503,in grace period
LN00184,59649.448304863705,64,19,712.0052991538827,car,36 months,27262.54749842461,current
LN00185,,46,15,590.7394505924304,car,36 months,11795.970093106489,current
LN00186,64280.00988184184,57,13,702.057585368208,home,60 months,24692.74903941304,current
LN00187,59464.7524914709,43,15,619.2822010478268,car,60 months,20867.430378182064,current
LN00188,48543.42174686254,49,32,703.2157060505784,home,36 months,10251.428644783546,current
LN00189,33064.1256386319,41,29,618.1261039316456,car,60 months,10501.009308204293,in grace period
LN00190,19703.055506282708,47,11,661.0533750066429,car,36 months,21340.131604140977,current
LN00191,41069.70095865958,59,14,609.2339793216329,home,36 months,20776.847095622954,default
LN00192,67127.97588646944,60,17,712.1170957447464,home,60 months,24920.32236277074,default
LN00193,54281.87488260408,33,27,584.2979781871234,education,60 months,15424.954422214085,current
LN00194,25085.22442576024,43,22,626.1469953588424,car,36 months,11532.922209923043,current
LN00195,53463.61851702364,36,13,720.6378439173589,home,36 months,21098.705249952844,current
LN00196,57706.347594576735,50,29,688.9406229444313,education,60 months,34199.19124446612,current
LN00197,,24,32,644.2948119600619,education,60 months,5000.0,default
LN00198,53074.50211891056,60,14,777.8537452370952,home,60 months,12009.473280262535,current
LN00199,51164.17436892,36,6,721.3487045057844,car,60 months,25904.401422834202,current
LN00200,27140.594043387537,51,14,685.5583398337462,education,36 months,22164.856344872413,in grace period
LN00201,57155.747206965665,62,37,701.7476410737609,car,36 months,26050.192938235086,current
LN00202,61215.690527364684,45,10,714.5344209272711,car,36 months,15703.449753702134,current
LN00203,71661.02486350553,64,28,786.1881149447969,education,60 months,5000.0,current
LN00204,71076.04104069807,32,30,640.3691822428683,home,60 months,36714.92717866659,current
LN00205,22446.61264085818,46,24,691.634839552765,car,36 months,30838.35889910897,current
LN00206,31243.499201697545,57,23,654.7276007585717,business,60 months,19758.21842578877,current
LN00207,60300.7053441732,53,18,632.0124270874336,home,60 months,11583.39383029038,current
LN00208,60275.71901824418,48,1,651.8249111479945,education,60 months,15094.324253586616,current
LN00209,60300.95372612096,29,21,674.1717307770048,business,60 months,22290.835118097595,current
LN00210,,32,19,665.3887744188746,car,60 months,17483.677333140433,current
LN00211,61417.81021386334,25,32,720.4286538415345,home,60 months,19855.00835484948,in grace period
LN00212,72711.31280361197,48,7,664.0416624600191,business,36 months,36101.3720417587,current
LN00213,207240.10580959215,55,24,811.7150965092192,home,36 months,29236.752132995214,current
LN00214,63027.825026115956,25,8,756.5619528637022,car,36 months,8292.215313333632,default
LN00215,43694.61510719309,54,33,651.3069388157091,home,36 months,20769.19002275362,current
LN00216,65179.38440986535,54,22,772.3961248619826,business,60 months,14796.364901628851,default
LN00217,34543.495709248564,33,4,596.3364294292282,home,36 months,22979.4312574822,default
LN00218,45263.62786519982,59,24,566.9986884922141,education,36 months,19366.68593491158,current
LN00219,40292.72904341793,62,7,618.5231580999159,education,36 months,49676.9877876674,current
LN00220,51637.482787726454,34,15,453.13740316593936,business,36 months,24292.616575359432,current
LN00221,96293.17133347018,31,14,758.2264433490761,home,60 months,18658.159938332003,current
LN00222,12654.696148165036,62,0,538.4617476006803,business,60 months,,current
LN00223,63725.20380749027,58,21,619.0164736488913,home,36 months,22055.494588525802,in grace period
LN00224,17745.682576206967,24,2,666.4151312323116,car,36 months,5000.0,current
LN00225,40561.36268421133,53,37,647.4297888811035,education,60 months,,current
LN00226,71779.01193934731,27,13,639.4707792163788,car,60 months,26137.032473720534,current
LN00227,51285.60038190926,61,35,507.2575836480253,home,36 months,24845.294828983024,in grace period
LN00228,28445.104441413878,28,17,718.0316158768574,car,60 months,30051.747043683237,current
LN00229,35693.925814800634,57,17,684.839477500793,business,60 months,21537.164687111523,current
LN00230,63591.95497869352,30,2,806.0223974002109,business,36 months,20831.10971564664,in grace period
LN00231,35392.66736565727,63,9,592.1760281889686,home,60 months,5975.246983098079,default
LN00232,54329.1717916395,35,38,551.0476026278188,education,36 months,35284.22257862165,current
LN00233,50911.436798076276,58,0,719.0742561092258,business,36 months,16943.964198010675,current
LN00234,36967.99304788366,35,26,622.3337481724989,education,60 months,10204.651863776771,current
LN00235,,25,26,735.3807212639733,home,60 months,46279.078881985086,in grace period
LN00236,62678.38044636023,49,10,774.602399901859,education,60 months,36800.85688242754,current
LN00237,9497.148266847857,39,4,635.19781436198,home,60 months,15522.510777426516,current
LN00238,53729.08629538855,30,6,663.9699586762157,None,60 months,5000.0,current
LN00239,36764.27070463224,32,18,651.3944150886634,home,60 months,12815.285787254674,current
LN00240,67048.66669592448,24,28,550.9712430210378,car,36 months,35791.35596259904,current
LN00241,34149.58523134599,51,14,710.2422092377991,home,60 months,21767.133037053594,current
LN00242,47705.27117066202,38,34,728.2812518707433,business,36 months,6505.6365336401195,current
LN00243,60099.745579609145,36,36,695.7695966696257,business,60 months,27839.815422274965,current
LN00244,67315.10388340242,60,11,559.7667287808841,education,60 months,17901.419713869553,in grace period
LN00245,25994.071858884476,56,29,616.0436034419333,home,60 months,13512.98032207835,current
LN00246,43309.97528318103,45,19,742.5367289033206,home,60 months,14271.595204002444,default
LN00247,40501.09377678088,43,36,599.4282867112779,home,60 months,33063.9250813688,current
LN00248,36933.41534852576,32,2,718.3610783251218,education,36 months,25466.36348354079,90+dpd
LN00249,85309.08480562194,54,8,687.6957886342416,business,36 months,5139.423131903039,current
LN00250,58099.63421921911,56,38,706.5048523279761,home,36 months,23671.88780116952,in grace period
LN00251,24782.320913299096,57,25,594.4623713582042,education,60 months,21076.150797463,current
LN00252,68357.23894109552,23,1,672.7938499989319,home,60 months,15795.922684092566,default
LN00253,92443.12394025267,29,22,721.543140654714,car,60 months,16323.188765407205,in grace period
LN00254,70649.30521102293,38,22,593.3528763810699,home,36 months,11349.475699159133,current
LN00255,19612.60068091973,63,20,637.3164690520904,car,36 months,13374.73628442273,current
LN00256,40315.31854267497,55,15,450.6484968995345,education,60 months,22897.23448536051,in grace period
LN00257,75338.22298373246,54,8,631.7630472488482,education,36 months,17224.30092996308,in grace period
LN00258,35846.61068762439,61,12,672.4483710357288,business,60 months,25456.816381903358,current
LN00259,58876.38856292457,34,27,735.8247423441037,home,60 months,12150.20367556133,current
LN00260,65492.68106858674,24,26,697.1152803371726,education,36 months,27074.946163708228,current
LN00261,31461.390568438343,49,16,532.6691657429104,business,36 months,33144.44574456159,in grace period
LN00262,48809.492878763995,61,37,719.6395112419946,home,36 months,19932.163600006785,current
LN00263,-14825.346801381449,35,35,503.96412133466697,education,36 months,25206.266102749174,current
LN00264,29512.247173314205,48,0,671.0360951156587,car,60 months,25596.42871901567,current
LN00265,44948.636972136796,62,17,566.0702241932765,education,60 months,14979.019763913386,current
LN00266,25044.33636070301,36,8,569.4498513979919,car,36 months,25633.64967832048,current
LN00267,82648.22607863271,32,12,614.2337359061388,business,36 months,5000.0,current
LN00268,21397.172440787348,25,39,629.6542230331476,business,36 months,5000.0,default
LN00269,41199.11026606032,54,14,626.0416436549806,home,36 months,16705.21736012384,current
LN00270,52614.81154572183,62,3,686.7684215225102,home,60 months,26334.658090503937,in grace period
LN00271,78825.4657813223,21,32,676.0509764168446,home,60 months,19149.4666974845,current
LN00272,21282.756976411212,59,23,513.5615645679583,business,60 months,27458.73628978934,current
LN00273,73263.27504309919,52,35,691.1000971525973,car,60 months,7982.643508513631,current
LN00274,50204.66122039174,46,9,525.3830150327307,home,60 months,28828.393999793923,current
LN00275,30369.826979040983,37,35,567.0299968082506,home,60 months,36288.12614414223,90+dpd
LN00276,59242.06948526541,47,19,632.2980855823752,business,60 months,13035.894850941197,default
LN00277,53981.1939114694,44,10,622.1869047508342,car,36 months,27709.987615043312,current
LN00278,37995.66245682411,55,11,521.2067255640421,education,60 months,20228.183138301127,current
LN00279,51396.04169980038,62,17,745.9071597901137,home,36 months,24418.405449358343,current
LN00280,42293.7280627648,59,29,756.1838727093736,education,36 months,,current
LN00281,52270.34690502496,46,36,808.3545535492913,education,36 months,23273.032731755848,90+dpd
LN00282,63242.61349042093,58,19,742.1081620573367,home,60 months,27644.421209970173,current
LN00283,81720.33632290704,43,24,652.5690279502278,business,60 months,7369.553588203171,in grace period
LN00284,25243.69002346302,42,11,594.8860728997026,home,60 months,27336.407859527815,current
LN00285,92660.66749312534,24,20,658.4380483036394,car,60 months,36100.07150854128,90+dpd
LN00286,10958.244009549962,29,24,748.4828313879941,car,36 months,10764.993770867792,current
LN00287,46964.29809928833,24,10,637.406344614367,home,60 months,16769.768543518254,current
LN00288,61766.344129691526,27,8,749.1425969567473,education,36 months,26861.266342242372,90+dpd
LN00289,55619.837354700656,43,24,737.5502351377012,car,60 months,24477.8412779995,90+dpd
LN00290,37546.00960358812,22,34,649.3443088718889,car,60 months,6402.722482339201,90+dpd
LN00291,45837.55499285449,44,31,542.752645274429,home,36 months,21649.11372411841,current
LN00292,40139.98130682334,60,13,632.095625943899,home,36 months,16673.18194769042,current
LN00293,38212.704861115766,51,0,647.0302935386622,business,36 months,10313.448677028977,current
LN00294,66992.04194042049,51,16,754.9764815762692,home,60 months,33567.24868392671,in grace period
LN00295,57140.309719300945,60,24,657.0323129089612,home,60 months,20054.603775732397,current
LN00296,36141.80809478692,63,7,550.0693679836904,car,36 months,29830.486529061047,current
LN00297,67991.99750866502,54,4,735.6756466925242,car,60 months,8265.869737546798,current
LN00298,56145.990417532186,44,4,638.7480471853479,car,36 months,25889.456575210905,current
LN00299,66257.2423767792,46,34,486.6197232448615,education,60 months,30616.89522816587,in grace period
LN00300,62592.57683847225,36,18,683.8714464014843,car,36 months,17578.513996457383,current
LN00301,33420.09978155856,33,22,667.004039712613,car,36 months,15028.198908218475,current
LN00302,38796.37919606061,35,8,578.3206550380953,home,60 months,6957.282589871846,current
LN00303,64945.87210246523,47,29,650.0326154014889,business,36 months,11319.473208987232,default
LN00304,62207.405308669295,24,15,706.7775464694856,car,60 months,15473.667153645089,current
LN00305,49581.968120717036,36,32,671.3368535475167,business,60 months,10240.888298433414,current
LN00306,52346.54766617564,50,1,541.4905105007656,car,36 months,12320.533388949665,90+dpd
LN00307,,64,13,761.8317589132241,car,36 months,21580.96916404709,current
LN00308,38168.5722232834,50,0,756.1416649336287,business,60 months,22777.8819839271,current
LN00309,60941.94762340076,56,25,623.7590249438116,home,60 months,30908.450205317706,90+dpd
LN00310,45956.14695132212,23,24,510.79508618938087,car,36 months,12382.266461215484,current
LN00311,45646.375935455595,42,15,698.1542217543021,business,36 months,20231.85211134516,default
LN00312,71975.5370397438,42,14,623.3890156399171,car,36 months,15823.032274600984,in grace period
LN00313,66508.3269797606,32,25,702.519691978368,education,60 months,15116.347503628876,current
LN00314,66270.19272001277,41,15,818.9520747223453,education,60 months,16838.60770360344,current
LN00315,76109.57614308658,24,13,566.3979949425068,education,60 months,18038.245352535396,current
LN00316,50420.076832655184,51,28,593.1865645884324,education,36 months,22503.96266296062,current
LN00317,63639.05942589928,64,23,648.5554372201477,home,36 months,16696.420334231254,90+dpd
LN00318,43794.66486813088,51,14,732.7420995058967,education,60 months,32273.30630051769,current
LN00319,56483.32704976884,43,18,855.0132763924087,business,60 months,5000.0,current
LN00320,47397.13891264631,40,7,663.2230513522601,car,36 months,30539.536254892846,default
LN00321,51939.919299854366,35,33,536.2142767917778,business,60 months,16314.963340579618,current
LN00322,61903.140508738274,43,1,636.2465936537925,education,36 months,18111.670833973447,in grace period
LN00323,33635.58633533055,48,26,577.9250916413115,home,36 months,19903.845216363567,current
LN00324,91847.7455137092,36,9,740.8886782943543,education,36 months,27056.42043255971,current
LN00325,29879.65237000596,57,34,654.791530943571,education,60 months,11197.084410307234,in grace period
LN00326,25716.227744245356,41,22,551.3192413265633,home,60 months,13431.407727805014,current
LN00327,73162.21747000136,35,7,613.3481871153421,home,36 months,25005.596718976478,current
LN00328,65833.25387925871,37,27,639.1591976416948,home,36 months,5000.0,current
LN00329,62482.3963410431,57,22,644.2572639792904,home,60 months,19658.333691097476,current
LN00330,62566.9101852856,33,3,658.143635396055,home,36 months,12022.70329510011,90+dpd
LN00331,49755.06454306171,39,13,651.7061389493107,home,60 months,9917.708255451218,current
LN00332,32054.91257028337,50,28,717.0243995543409,car,60 months,5000.0,current
LN00333,51516.091163874524,38,0,622.3112696650136,education,60 months,27723.020550690355,current
LN00334,36456.76576975777,34,3,596.9370362951367,education,36 months,,current
LN00335,69502.39466835503,56,31,574.3181625487031,home,36 months,13277.187972517037,current
LN00336,47058.852369957225,56,32,629.9186554293703,business,36 months,18354.42090329431,current
LN00337,33490.05606414977,40,25,649.9537426403031,home,36 months,9071.176857457214,current
